prompt,completion,prompt_translated,completion_translated
How can I manage stress effectively?,"Manage stress through regular exercise, deep breathing techniques, meditation, adequate sleep, healthy eating, time management, social support, hobbies, limiting caffeine and alcohol, and seeking professional help when needed. Identifying stress triggers can help develop coping strategies.",Báwo ni mo ṣe lè borí ìdààmú ọkàn?,"Máa ṣe ìmárale ìdààmú ọkàn nípa ṣíṣe eré ìmárale déédéé, ṣíṣe àyẹ̀wò nípa fífún ara rẹ ní ìmárale, ṣíṣe àṣàrò, kíkọ́jú dáadáa, kíkọ́ oúnjẹ tó dáa, kíkọ́jú àkókò, kíkọ́jú àwọn èèyàn, kíkọ́jú àwọn ohun tó ń wu ẹní, kí o má ṣe máa jẹ ẹ́ lámujù, kó o sì máa wá ìrànlọ́wọ́ àwọn òṣìṣẹ́ tó lè ràn ẹ́ lọ́wọ́ tó bá yẹ."
What are the symptoms of iron deficiency anemia?,"Iron deficiency anemia symptoms include fatigue, weakness, pale skin, shortness of breath, cold hands and feet, brittle nails, unusual cravings for non-food items, heavy menstrual periods, and restless leg syndrome. Blood tests can confirm the diagnosis and determine underlying causes.",Kí ni àwọn àmì àìjẹunjẹ tó ń fa àìtọ́ irin?,"Àwọn àmì tó ń fa àìlọ́gbẹ́ ẹ̀jẹ̀ tó ń mú kí èèyàn má rí nǹkan jẹ ni ìsoríkọ́, àìlera, awọ ara tó ń mú kí ara rẹ̀ mọ́lẹ̀, àìrí èémí, ọwọ́ àti ẹsẹ̀ tó ń tutù, àgbá tó ń mú kí ara rẹ̀ tú, ìrẹ́jẹ tí kì í ṣe oúnjẹ, ìran oṣù tó pọ̀, àti àìsàn ẹsẹ̀ tí kò ní ìbàlẹ̀."
How often should I have a physical exam?,"Adults should have annual physical exams, though frequency may vary based on age, health status, and risk factors. These visits allow for preventive care, screening tests, vaccinations, and early detection of health issues. Establish a relationship with a primary care provider for continuity of care.",Báwo ni mo ṣe lè máa ṣe ìwádìí nípa ara?,"Àwọn àgbàlagbà yẹ kí wọ́n máa ṣe ìwádìí nípa ara lọ́dọọdún, bó tilẹ̀ jẹ́ pé ìgbà tí wọ́n ń ṣe ìwádìí náà lè yàtọ̀ síra lórí bí ọjọ́ orí, ipò ìlera àti àwọn nǹkan tó lè fa ewu."
What are the warning signs of eating disorders?,"Warning signs include dramatic weight loss or gain, obsession with weight and calories, avoiding social situations involving food, extreme mood swings, fatigue, dizziness, hair loss, dry skin, social isolation, and rigid exercise routines. Early intervention improves treatment outcomes.",Kí ni àwọn àmì tó ń jẹ́ ká mọ̀ pé èèyàn ní àìlera oúnjẹ?,"Àwọn àmì tó ń kọ́ni ní láti máa ṣe bẹ́ẹ̀ ni pé kéèyàn dín kù tàbí kó máa rọ́pò ara ẹni, kéèyàn máa fi ara rẹ̀ pa àwọn èròjà tó ń mú kéèyàn máa jẹun, kéèyàn máà ní èròjà tó ń mú kéèyàn máa gbé ìgbésí ayé tó dáa, kéèyàn máà ní èròjà tó ń mú kéèyàn máa jẹun, kéèyàn máà ní ìdààmú ọkàn, kéèyàn máà ní ìdààmú ọkàn, kéèyàn máa dààmú, kéèyàn máa rọ̀ gùdù, kéèyàn máa dá ara rẹ̀ nìkan dúró, kéèyàn sì máa ṣe eré ìmárale tó le koko."
How can I maintain bone health as I age?,"Maintain bone health through adequate calcium and vitamin D intake, regular weight-bearing and resistance exercises, avoiding smoking and excessive alcohol, maintaining a healthy weight, and getting bone density screening as recommended. Falls prevention is also important for older adults.",Báwo ni mo ṣe lè máa gbé ara mi ró bí mo ṣe ń darúgbó?,"Máa lo èròjà kalíkù àti vitamin D tó pọ̀ tó láti mú kí egungun wà ní ìlera, máa ṣe eré ìdárayá tó máa ń mú kí èèyàn gbẹ́kẹ̀ lé àwọn nǹkan tó ń mú kí egungun wú, kó má mu sìmu sìmu ọtí tó pọ̀, kó má sì mu ọtí tó ń múni wú, kó sì máa ṣe ìwádìí nípa bí egungun ṣe pọ̀ tó."
What are the symptoms of acid reflux (GERD)?,"GERD symptoms include heartburn, regurgitation of food or liquid, difficulty swallowing, chest pain, chronic cough, hoarse voice, and sensation of a lump in the throat. Symptoms often worsen when lying down or bending over. Lifestyle modifications and medications can help manage symptoms.",Kí ni àwọn àmì tí àìsàn àbùkù àtọgbẹ (GERD) ń fà?,"Àwọn àmì tó ń fa àrùn GERD ni ìrunú, ìsun omi tàbí oúnjẹ, ìṣòro gbígbọ́, ìrora àyà, òòfò tó ń báni fínra, ohùn tó ń ru, àti ìró tó ń mú kí ọrùn máa wú."
How can I prevent skin aging?,"Prevent skin aging by using sunscreen daily, avoiding excessive sun exposure, not smoking, staying hydrated, eating a healthy diet rich in antioxidants, using moisturizers, getting adequate sleep, managing stress, and considering gentle skincare products with retinoids or vitamin C.",Báwo ni mo ṣe lè dáàbò bo ara mi lọ́wọ́ ọjọ́ ogbó?,"Máa lo ohun tó ń dáàbò bo awọ ara lójoojúmọ́, má ṣe fi oòrùn wọ̀ ọ́, má ṣe mu sìgá, má ṣe jẹ́ kí omi máa pa ara rẹ, má ṣe jẹun lọ́nà tó dáa, má ṣe lo àwọn èròjà aṣaralóore, má ṣe sùn dáadáa, má ṣe máa ṣàníyàn, má sì lo àwọn oògùn tó ń mú kí awọ ara rẹ máa yá gágá tó o sì ń lo vitamin C."
What are the symptoms of vitamin D deficiency?,"Vitamin D deficiency symptoms include bone pain, muscle weakness, fatigue, depression, frequent infections, slow wound healing, and hair loss. Severe deficiency can lead to bone diseases like rickets in children or osteomalacia in adults. Blood tests can determine vitamin D levels.",Kí ni àwọn àmì tí kò fi bẹ́ẹ̀ ní vitamin D?,"Àwọn àmì tí kò nídìí tó fi ń rí vitamin D ní í ṣe pẹ̀lú ìrora egungun, àìlera iṣan, ìdààmú, ìsoríkọ́, àìsàn tó máa ń wáyé lọ́pọ̀ ìgbà, ìbọ̀ tó máa ń tètè lára, àti irun tó máa ń dà nù."
How do I know if I have a hormone imbalance?,"Hormone imbalance symptoms vary but may include irregular periods, weight gain or loss, fatigue, mood changes, sleep problems, hair loss or excess hair growth, skin changes, hot flashes, and decreased libido. Blood tests can help identify specific hormone levels and imbalances.",Báwo ni mo ṣe lè mọ̀ bóyá mo ní àìlóǹwọ̀n èròjà hormone?,"Àwọn àmì tó ń fa àìlóǹtún tó ń wáyé nínú ara máa ń yàtọ̀ síra, àmọ́ ó lè ní àwọn ìgbà tí kò bá pẹ́, tí kì í pẹ́ tí ara kì í wú, tí kì í pẹ́ tó ń wú, tí ìdààmú ọkàn ń báni, tí oorun ń yí pa dà, tí irun ń rọ̀ tàbí tí irun ń rọ̀ kọjá ààlà, tí awọ ara ń yí pa dà, tí ooru ń gbóná, àti tí ìfẹ́ ọkàn ń dín kù."
What are the health benefits of probiotics?,"Probiotics may support digestive health, boost immune function, improve mental health, reduce inflammation, help with weight management, and support heart health. They can be found in fermented foods like yogurt, kefir, sauerkraut, and kimchi, or taken as supplements.",Kí ni àwọn èròjà aṣaralóore tó ń ṣe àwọn èèyàn láǹfààní?,"Àwọn oògùn yìí lè mú kí ara tútù, kí ara má bàa di ẹni tó ń ṣe ara rẹ̀ láǹfààní, kí ara má bàa le koko, kí ara má bàa le koko, kí ara má bàa tútù, kí ara má bàa tútù, kí ara má bàa bà jẹ́, kí ara má bàa le koko, kí ara má sì le koko."
How can I prevent age-related macular degeneration?,"Prevent macular degeneration by not smoking, eating a diet rich in leafy greens and fish, maintaining healthy weight and blood pressure, protecting eyes from UV light, exercising regularly, and having regular eye exams. Antioxidant supplements may help in some cases.",Báwo ni mo ṣe lè dáàbò bo ara mi lọ́wọ́ àìsàn tó ń fa ìdọ̀tí tí kò ní láárí?,"Ó lè ràn ẹ́ lọ́wọ́ kó o má ṣe mu sìgá, kó o máa jẹ oúnjẹ tó ní àwọn ewéko àti ẹja, kó o máa lo ara rẹ dáadáa, kó o sì máa ní ìsoríkọ́ ẹ̀jẹ̀, kó o máa dáàbò bo ojú kúrò lọ́wọ́ ìmọ́lẹ̀ UV, kó o máa ṣe eré ìmárale déédéé, kó o sì máa ṣe ìwádìí ojú déédéé."
What are the symptoms of celiac disease?,"Celiac disease symptoms include diarrhea, bloating, gas, fatigue, weight loss, anemia, bone or joint pain, skin rash, headaches, and in children, failure to thrive. Some people have no digestive symptoms but may experience neurological or other systemic symptoms.",Kí ni àwọn àmì àrùn celiac?,"Àwọn àmì àrùn celiac ni ìjẹun, ìbọ̀n, gáàsì, ìdààmú, pípa àdánù, àìjẹunjẹ, ìrora egungun tàbí ìrọ̀gbọ̀ọ́, ìdọ̀tí, orí, àti àìṣeyọrí nínú ìfúntótọ́jú."
How can I improve my mental health?,"Improve mental health through regular exercise, adequate sleep, healthy eating, social connections, stress management, mindfulness or meditation, limiting alcohol and avoiding drugs, engaging in enjoyable activities, setting realistic goals, and seeking professional help when needed.",Báwo ni mo ṣe lè mú kí ara mi le sí i?,"Máa ṣe eré ìmárale déédéé, máa sùn dáadáa, máa jẹun dáadáa, máa bá àwọn èèyàn kẹ́gbẹ́, máa ronú jinlẹ̀, máa mu ọtí àmujù, má ṣe lo oògùn olóró, máa ṣe àwọn nǹkan tó máa múnú ẹni dùn, máa gbé àwọn àfojúsùn tó gbéṣẹ́ kalẹ̀, kó o sì máa wá ìrànlọ́wọ́ àwọn òṣìṣẹ́ tó máa ràn ẹ́ lọ́wọ́ nígbà tó bá yẹ."
What are the warning signs of liver disease?,"Liver disease warning signs include yellowing of skin and eyes (jaundice), abdominal pain and swelling, swelling in legs and ankles, dark urine, pale stool, chronic fatigue, nausea, vomiting, and tendency to bruise easily. Early stages may have no symptoms.",Kí ni àwọn àmì ìkìlọ̀ tó ń fi hàn pé àrùn ẹ̀dọ̀ ń yọjú?,"Àwọn àmì tó ń jẹ́ ká mọ̀ pé àìsàn ẹ̀dọ̀ ń ṣe é máa ń mú kí awọ ara àti ojú di aláwọ̀ pupa (àìsàn ìdọ̀tí), kí abú máa dùn, kí ìfun máa wú, kí ẹsẹ̀ àti ẹsẹ̀ máa wú, kí ìfun máa ṣú, kí ìfun máa tú, kí ìdààmú máa bá a nìṣó, kí ìnira máa ń pọ̀, kí ìfun máa ń dà, kí ìfun máa ń dà, kí ìfun máa ń dà, kí ìfun máa ń dà, kí ìfun máa ń dà."
How often should I get my eyes examined?,"Adults should have comprehensive eye exams every 1-2 years, or more frequently if they have risk factors like diabetes, family history of eye disease, or are over 60. Children should have their first exam by age 3, then before starting school and periodically thereafter.",Báwo ni mo ṣe lè máa wo ojú mi?,"Àwọn àgbàlagbà gbọ́dọ̀ máa ṣe ìwádìí ojú tó kúnnú-nǹkan-ń-ṣe ní gbogbo ọdún kan sí méjì, tàbí kí wọ́n máa ṣe èyí tó pọ̀ jù lọ tí wọ́n bá ní àwọn ohun tó ń fa àrùn àtọ̀gbẹ, àìsàn ojú nínú ìdílé tàbí tí wọ́n ti lé lẹ́ni ọgọ́ta ọdún."
